"time","°C.mean_value"
"2024-02-11T22:00:00.000+04:00","22.349999999999998"
"2024-02-12T00:00:00.000+04:00","22.357142857142858"
"2024-02-12T02:00:00.000+04:00","22.333333333333332"
"2024-02-12T04:00:00.000+04:00","22.4"
"2024-02-12T06:00:00.000+04:00","22.5"
"2024-02-12T08:00:00.000+04:00","22.5"
"2024-02-12T10:00:00.000+04:00",
"2024-02-12T12:00:00.000+04:00","22.599999999999998"
"2024-02-12T14:00:00.000+04:00","22.633333333333336"
"2024-02-12T16:00:00.000+04:00","22.65"
"2024-02-12T18:00:00.000+04:00","22.65"
"2024-02-12T20:00:00.000+04:00",
"2024-02-12T22:00:00.000+04:00","22.65"
"2024-02-13T00:00:00.000+04:00","22.65"
"2024-02-13T02:00:00.000+04:00","22.65"
"2024-02-13T04:00:00.000+04:00","22.549999999999997"
"2024-02-13T06:00:00.000+04:00","22.599999999999998"
"2024-02-13T08:00:00.000+04:00","22.85"
"2024-02-13T10:00:00.000+04:00","22.916666666666668"
"2024-02-13T12:00:00.000+04:00","23.05"
"2024-02-13T14:00:00.000+04:00","23.25"
"2024-02-13T16:00:00.000+04:00","23.166666666666668"
"2024-02-13T18:00:00.000+04:00","23.133333333333336"
"2024-02-13T20:00:00.000+04:00",
"2024-02-13T22:00:00.000+04:00",
"2024-02-14T00:00:00.000+04:00","23.03333333333333"
"2024-02-14T02:00:00.000+04:00","23.05"
"2024-02-14T04:00:00.000+04:00","23.066666666666666"
"2024-02-14T06:00:00.000+04:00","23.099999999999998"
"2024-02-14T08:00:00.000+04:00","23.266666666666666"
"2024-02-14T10:00:00.000+04:00",
"2024-02-14T12:00:00.000+04:00","23.05"
"2024-02-14T14:00:00.000+04:00","22.96666666666667"
"2024-02-14T16:00:00.000+04:00","22.849999999999998"
"2024-02-14T18:00:00.000+04:00","22.85"
"2024-02-14T20:00:00.000+04:00","22.666666666666668"
"2024-02-14T22:00:00.000+04:00","22.6"
"2024-02-15T00:00:00.000+04:00","22.5"
"2024-02-15T02:00:00.000+04:00","22.55"
"2024-02-15T04:00:00.000+04:00","22.55"
"2024-02-15T06:00:00.000+04:00","22.45"
"2024-02-15T08:00:00.000+04:00","22.650000000000002"
"2024-02-15T10:00:00.000+04:00","22.75"
"2024-02-15T12:00:00.000+04:00","22.759999999999998"
"2024-02-15T14:00:00.000+04:00","22.6"
"2024-02-15T16:00:00.000+04:00","22.65"
"2024-02-15T18:00:00.000+04:00","22.52"
"2024-02-15T20:00:00.000+04:00","22.45"
"2024-02-15T22:00:00.000+04:00","22.46666666666667"
"2024-02-16T00:00:00.000+04:00","22.450000000000003"
"2024-02-16T02:00:00.000+04:00","22.414285714285715"
"2024-02-16T04:00:00.000+04:00","22.46666666666667"
"2024-02-16T06:00:00.000+04:00","22.439999999999998"
"2024-02-16T08:00:00.000+04:00","22.5"
"2024-02-16T10:00:00.000+04:00","22.359999999999996"
"2024-02-16T12:00:00.000+04:00","22.35"
"2024-02-16T14:00:00.000+04:00","22.419999999999998"
"2024-02-16T16:00:00.000+04:00","22.450000000000003"
"2024-02-16T18:00:00.000+04:00","22.55"
"2024-02-16T20:00:00.000+04:00","22.54285714285714"
"2024-02-16T22:00:00.000+04:00","22.566666666666666"
"2024-02-17T00:00:00.000+04:00",
"2024-02-17T02:00:00.000+04:00","22.666666666666668"
"2024-02-17T04:00:00.000+04:00","22.7"
"2024-02-17T06:00:00.000+04:00","22.8"
"2024-02-17T08:00:00.000+04:00","22.75"
"2024-02-17T10:00:00.000+04:00","22.75"
"2024-02-17T12:00:00.000+04:00","22.85"
"2024-02-17T14:00:00.000+04:00",
"2024-02-17T16:00:00.000+04:00","22.866666666666664"
"2024-02-17T18:00:00.000+04:00","22.85"
"2024-02-17T20:00:00.000+04:00","22.95"
"2024-02-17T22:00:00.000+04:00","22.95"
"2024-02-18T00:00:00.000+04:00","22.950000000000003"
"2024-02-18T02:00:00.000+04:00","23.028571428571432"
"2024-02-18T04:00:00.000+04:00","23.05"
"2024-02-18T06:00:00.000+04:00","23.05"
"2024-02-18T08:00:00.000+04:00","22.65"
"2024-02-18T10:00:00.000+04:00","22.450000000000003"
"2024-02-18T12:00:00.000+04:00","22.549999999999997"
"2024-02-18T14:00:00.000+04:00","22.5"
"2024-02-18T16:00:00.000+04:00","22.383333333333336"
"2024-02-18T18:00:00.000+04:00","22.38"
